Powered by SCRIER.org.  If you enjoy saving lives, please tip gofundme.com/f/scrier
[23] Apr  5:   actual: 1,170,717,    official: 117,061,   infectious: 881,788,   dead: 2,791 

[24] Apr  6:   actual: 1,265,006,    official: 126,489,   infectious: 947,327,   dead: 3,671 

[25] Apr  7:   actual: 1,366,119,    official: 136,600,   infectious: 1,016,274,   dead: 4,828 

[26] Apr  8:   actual: 1,474,318,    official: 147,419,   infectious: 1,087,933,   dead: 6,349 

[27] Apr  9:   actual: 1,589,799,    official: 158,967,   infectious: 1,161,660,   dead: 8,345 

[28] Apr 10:   actual: 1,712,667,    official: 171,253,   infectious: 1,236,548,   dead: 10,967 

[29] Apr 11:   actual: 1,842,878,    official: 184,274,   infectious: 1,311,089,   dead: 11,786 

[30] Apr 12:   actual: 1,980,185,    official: 198,004,   infectious: 1,383,268,   dead: 12,860 

[31] Apr 13:   actual: 2,124,057,    official: 212,391,   infectious: 1,450,204,   dead: 14,009 

[32] Apr 14:   actual: 2,273,582,    official: 227,343,   infectious: 1,508,065,   dead: 15,256 

[33] Apr 15:   actual: 2,427,312,    official: 242,716,   infectious: 1,551,407,   dead: 16,605 

[34] Apr 16:   actual: 2,591,385,    official: 259,123,   infectious: 1,656,814,   dead: 18,059 

[35] Apr 17:   actual: 2,765,260,    official: 276,510,   infectious: 1,756,957,   dead: 19,624 

[36] Apr 18:   actual: 2,949,566,    official: 294,940,   infectious: 1,863,679,   dead: 21,302 

[37] Apr 19:   actual: 3,144,799,    official: 314,463,   infectious: 1,975,644,   dead: 23,098 

[38] Apr 20:   actual: 3,351,495,    official: 335,132,   infectious: 2,093,295,   dead: 25,009 

[39] Apr 21:   actual: 3,570,228,    official: 357,005,   infectious: 2,217,054,   dead: 27,045 

[40] Apr 22:   actual: 3,801,603,    official: 380,142,   infectious: 2,347,274,   dead: 29,239 

[41] Apr 23:   actual: 4,046,274,    official: 404,609,   infectious: 2,484,493,   dead: 31,596 

[42] Apr 24:   actual: 4,304,952,    official: 430,476,   infectious: 2,629,334,   dead: 34,123 

[43] Apr 25:   actual: 4,578,432,    official: 457,824,   infectious: 2,782,714,   dead: 36,827 

[44] Apr 26:   actual: 4,867,535,    official: 486,734,   infectious: 2,944,962,   dead: 39,714 

[45] Apr 27:   actual: 5,172,960,    official: 517,276,   infectious: 3,114,900,   dead: 42,785 

[46] Apr 28:   actual: 5,495,473,    official: 549,527,   infectious: 3,293,275,   dead: 46,040 

[47] Apr 29:   actual: 5,835,863,    official: 583,566,   infectious: 3,480,402,   dead: 49,472 

[48] Apr 30:   actual: 6,194,954,    official: 619,475,   infectious: 3,676,736,   dead: 53,068 

[49] May  1:   actual: 6,573,613,    official: 657,340,   infectious: 3,882,801,   dead: 56,806 

[50] May  2:   actual: 6,972,756,    official: 697,254,   infectious: 4,099,220,   dead: 60,649 

[51] May  3:   actual: 7,393,365,    official: 739,314,   infectious: 4,326,770,   dead: 64,750 

[52] May  4:   actual: 7,836,504,    official: 783,627,   infectious: 4,566,434,   dead: 69,096 

[53] May  5:   actual: 8,303,344,    official: 830,311,   infectious: 4,819,469,   dead: 73,703 

[54] May  6:   actual: 8,795,198,    official: 879,496,   infectious: 5,087,510,   dead: 78,583 

[55] May  7:   actual: 9,313,569,    official: 931,333,   infectious: 5,372,729,   dead: 83,750 


RAN OUT OF VENTILATORS
[56] May  8:   actual: 9,859,579,    official: 985,934,   infectious: 5,671,385,   dead: 89,218 

[57] May  9:   actual: 10,434,587,    official: 1,043,434,   infectious: 5,986,166,   dead: 95,002 

[58] May 10:   actual: 11,040,915,    official: 1,104,066,   infectious: 6,327,376,   dead: 101,118 

[59] May 11:   actual: 11,679,944,    official: 1,167,968,   infectious: 6,685,547,   dead: 107,584 

[60] May 12:   actual: 12,353,100,    official: 1,235,283,   infectious: 7,061,466,   dead: 115,327 

[61] May 13:   actual: 13,060,906,    official: 1,306,063,   infectious: 7,445,984,   dead: 134,212 

[62] May 14:   actual: 13,804,900,    official: 1,380,462,   infectious: 7,850,054,   dead: 153,993 

[63] May 15:   actual: 14,586,556,    official: 1,458,627,   infectious: 8,273,410,   dead: 174,665 

[64] May 16:   actual: 15,407,369,    official: 1,540,708,   infectious: 8,716,713,   dead: 195,757 

[65] May 17:   actual: 16,269,124,    official: 1,626,883,   infectious: 9,183,523,   dead: 212,313 

[66] May 18:   actual: 17,173,884,    official: 1,717,359,   infectious: 9,677,365,   dead: 229,416 

[67] May 19:   actual: 18,123,296,    official: 1,812,300,   infectious: 10,194,429,   dead: 246,996 

[68] May 20:   actual: 19,118,786,    official: 1,911,849,   infectious: 10,732,964,   dead: 268,035 

[69] May 21:   actual: 20,161,509,    official: 2,016,121,   infectious: 11,290,690,   dead: 295,486 

[70] May 22:   actual: 21,253,059,    official: 2,125,276,   infectious: 11,873,016,   dead: 324,510 

[71] May 23:   actual: 22,394,969,    official: 2,239,467,   infectious: 12,480,060,   dead: 355,248 

[72] May 24:   actual: 23,588,757,    official: 2,358,845,   infectious: 13,112,500,   dead: 386,290 

[73] May 25:   actual: 24,836,035,    official: 2,483,572,   infectious: 13,772,260,   dead: 416,230 

[74] May 26:   actual: 26,138,496,    official: 2,613,818,   infectious: 14,461,255,   dead: 447,510 

[75] May 27:   actual: 27,497,555,    official: 2,749,723,   infectious: 15,177,454,   dead: 480,148 

[76] May 28:   actual: 28,914,421,    official: 2,891,409,   infectious: 15,919,665,   dead: 515,669 

[77] May 29:   actual: 30,390,058,    official: 3,038,972,   infectious: 16,686,265,   dead: 555,600 


RAN OUT OF HOSPITAL BEDS
[78] May 30:   actual: 31,925,543,    official: 3,192,520,   infectious: 17,479,690,   dead: 597,569 

[79] May 31:   actual: 33,523,101,    official: 3,352,275,   infectious: 18,314,368,   dead: 641,662 

[80] Jun  1:   actual: 35,186,491,    official: 3,518,614,   infectious: 19,209,783,   dead: 687,219 

[81] Jun  2:   actual: 36,916,513,    official: 3,691,616,   infectious: 20,133,997,   dead: 733,562 

[82] Jun  3:   actual: 38,714,094,    official: 3,871,374,   infectious: 21,090,106,   dead: 781,957 

[83] Jun  4:   actual: 40,579,917,    official: 4,057,956,   infectious: 22,076,994,   dead: 832,464 

[84] Jun  5:   actual: 42,513,152,    official: 4,251,279,   infectious: 23,078,437,   dead: 900,734 

[85] Jun  6:   actual: 44,511,027,    official: 4,451,066,   infectious: 24,072,306,   dead: 1,008,116 

[86] Jun  7:   actual: 46,573,397,    official: 4,657,303,   infectious: 25,091,005,   dead: 1,119,972 

[87] Jun  8:   actual: 48,700,809,    official: 4,870,044,   infectious: 26,144,715,   dead: 1,236,407 

[88] Jun  9:   actual: 50,895,124,    official: 5,089,475,   infectious: 27,251,916,   dead: 1,357,147 

[89] Jun 10:   actual: 53,155,234,    official: 5,315,486,   infectious: 28,378,389,   dead: 1,481,887 

[90] Jun 11:   actual: 55,479,983,    official: 5,547,960,   infectious: 29,525,162,   dead: 1,611,067 

[91] Jun 12:   actual: 57,867,859,    official: 5,786,747,   infectious: 30,689,336,   dead: 1,744,705 

[92] Jun 13:   actual: 60,315,847,    official: 6,031,545,   infectious: 31,852,921,   dead: 1,898,061 

[93] Jun 14:   actual: 62,819,057,    official: 6,281,866,   infectious: 32,991,814,   dead: 2,092,173 

[94] Jun 15:   actual: 65,374,878,    official: 6,537,448,   infectious: 34,135,697,   dead: 2,292,961 

[95] Jun 16:   actual: 67,981,252,    official: 6,798,085,   infectious: 35,292,784,   dead: 2,500,567 

[96] Jun 17:   actual: 70,637,203,    official: 7,063,680,   infectious: 36,479,089,   dead: 2,715,186 

[97] Jun 18:   actual: 73,338,983,    official: 7,333,858,   infectious: 37,658,034,   dead: 2,936,445 

[98] Jun 19:   actual: 76,082,742,    official: 7,608,233,   infectious: 38,828,025,   dead: 3,164,250 

[99] Jun 20:   actual: 78,864,316,    official: 7,886,390,   infectious: 39,984,159,   dead: 3,398,436 

[100] Jun 21:   actual: 81,678,279,    official: 8,167,786,   infectious: 41,107,192,   dead: 3,653,693 

[101] Jun 22:   actual: 84,517,905,    official: 8,451,748,   infectious: 42,175,568,   dead: 3,950,225 

[102] Jun 23:   actual: 87,378,071,    official: 8,737,764,   infectious: 43,209,597,   dead: 4,253,938 

[103] Jun 24:   actual: 90,254,283,    official: 9,025,385,   infectious: 44,216,234,   dead: 4,565,070 

[104] Jun 25:   actual: 93,142,808,    official: 9,314,237,   infectious: 45,205,048,   dead: 4,888,425 

[105] Jun 26:   actual: 96,037,954,    official: 9,603,751,   infectious: 46,143,029,   dead: 5,218,181 

[106] Jun 27:   actual: 98,934,147,    official: 9,893,370,   infectious: 47,027,716,   dead: 5,553,691 

[107] Jun 28:   actual: 101,825,899,    official: 10,182,545,   infectious: 47,855,816,   dead: 5,894,087 

[108] Jun 29:   actual: 104,706,946,    official: 10,470,649,   infectious: 48,609,146,   dead: 6,251,017 

[109] Jun 30:   actual: 107,570,134,    official: 10,756,967,   infectious: 49,265,744,   dead: 6,646,659 

[110] Jul  1:   actual: 110,410,021,    official: 11,040,955,   infectious: 49,847,111,   dead: 7,046,492 

[111] Jul  2:   actual: 113,221,956,    official: 11,322,148,   infectious: 50,360,621,   dead: 7,451,463 

[112] Jul  3:   actual: 116,002,313,    official: 11,600,183,   infectious: 50,818,778,   dead: 7,864,855 

[113] Jul  4:   actual: 118,746,079,    official: 11,874,559,   infectious: 51,190,557,   dead: 8,280,496 

[114] Jul  5:   actual: 121,448,639,    official: 12,144,815,   infectious: 51,475,792,   dead: 8,697,214 

[115] Jul  6:   actual: 124,105,753,    official: 12,410,526,   infectious: 51,674,166,   dead: 9,113,010 

[116] Jul  7:   actual: 126,712,813,    official: 12,671,232,   infectious: 51,770,842,   dead: 9,539,526 

[117] Jul  8:   actual: 129,264,681,    official: 12,926,418,   infectious: 51,746,422,   dead: 9,998,436 

[118] Jul  9:   actual: 131,758,011,    official: 13,175,751,   infectious: 51,628,008,   dead: 10,454,822 

[119] Jul 10:   actual: 134,190,375,    official: 13,418,987,   infectious: 51,427,665,   dead: 10,909,072 

[120] Jul 11:   actual: 136,560,482,    official: 13,655,997,   infectious: 51,163,863,   dead: 11,362,783 

[121] Jul 12:   actual: 138,865,980,    official: 13,886,546,   infectious: 50,808,964,   dead: 11,810,754 

[122] Jul 13:   actual: 141,104,990,    official: 14,110,447,   infectious: 50,367,333,   dead: 12,251,498 

[123] Jul 14:   actual: 143,276,054,    official: 14,327,553,   infectious: 49,843,045,   dead: 12,682,868 

[124] Jul 15:   actual: 145,377,480,    official: 14,537,695,   infectious: 49,225,738,   dead: 13,116,975 

[125] Jul 16:   actual: 147,407,150,    official: 14,740,662,   infectious: 48,499,846,   dead: 13,574,785 

[126] Jul 17:   actual: 149,364,573,    official: 14,936,404,   infectious: 47,698,813,   dead: 14,021,424 

[127] Jul 18:   actual: 151,250,066,    official: 15,124,953,   infectious: 46,839,694,   dead: 14,456,885 

[128] Jul 19:   actual: 153,064,936,    official: 15,306,440,   infectious: 45,946,106,   dead: 14,881,883 

[129] Jul 20:   actual: 154,809,487,    official: 15,480,895,   infectious: 44,992,783,   dead: 15,292,672 

[130] Jul 21:   actual: 156,484,346,    official: 15,648,380,   infectious: 43,987,018,   dead: 15,688,008 

[131] Jul 22:   actual: 158,090,407,    official: 15,808,986,   infectious: 42,935,620,   dead: 16,066,263 

[132] Jul 23:   actual: 159,628,246,    official: 15,962,769,   infectious: 41,830,214,   dead: 16,440,414 

[133] Jul 24:   actual: 161,097,933,    official: 16,109,737,   infectious: 40,656,692,   dead: 16,831,144 

[134] Jul 25:   actual: 162,500,848,    official: 16,250,028,   infectious: 39,451,124,   dead: 17,204,060 

[135] Jul 26:   actual: 163,838,960,    official: 16,383,839,   infectious: 38,232,139,   dead: 17,559,224 

[136] Jul 27:   actual: 165,114,993,    official: 16,511,442,   infectious: 37,024,641,   dead: 17,897,162 

[137] Jul 28:   actual: 166,330,632,    official: 16,633,005,   infectious: 35,802,530,   dead: 18,215,644 

[138] Jul 29:   actual: 167,487,700,    official: 16,748,711,   infectious: 34,572,623,   dead: 18,513,972 

[139] Jul 30:   actual: 168,588,115,    official: 16,858,752,   infectious: 33,340,949,   dead: 18,791,278 

[140] Jul 31:   actual: 169,633,372,    official: 16,963,277,   infectious: 32,097,792,   dead: 19,061,443 

[141] Aug  1:   actual: 170,624,366,    official: 17,062,376,   infectious: 30,827,275,   dead: 19,345,267 

[142] Aug  2:   actual: 171,563,048,    official: 17,156,244,   infectious: 29,564,560,   dead: 19,608,931 

[143] Aug  3:   actual: 172,451,800,    official: 17,245,119,   infectious: 28,326,953,   dead: 19,852,740 

[144] Aug  4:   actual: 173,293,667,    official: 17,329,305,   infectious: 27,140,115,   dead: 20,077,300 

[145] Aug  5:   actual: 174,090,567,    official: 17,408,995,   infectious: 25,972,432,   dead: 20,281,511 

[146] Aug  6:   actual: 174,844,439,    official: 17,484,382,   infectious: 24,828,000,   dead: 20,465,380 

[147] Aug  7:   actual: 175,557,147,    official: 17,555,652,   infectious: 23,707,761,   dead: 20,631,084 

[148] Aug  8:   actual: 176,230,163,    official: 17,622,953,   infectious: 22,601,772,   dead: 20,790,569 

[149] Aug  9:   actual: 176,864,324,    official: 17,686,369,   infectious: 21,491,213,   dead: 20,964,730 

[150] Aug 10:   actual: 177,461,379,    official: 17,746,074,   infectious: 20,409,154,   dead: 21,119,977 

[151] Aug 11:   actual: 178,023,447,    official: 17,802,280,   infectious: 19,371,343,   dead: 21,255,488 

[152] Aug 12:   actual: 178,553,251,    official: 17,855,260,   infectious: 18,401,971,   dead: 21,373,132 

[153] Aug 13:   actual: 179,052,390,    official: 17,905,173,   infectious: 17,465,433,   dead: 21,472,412 

[154] Aug 14:   actual: 179,522,425,    official: 17,952,176,   infectious: 16,562,755,   dead: 21,554,281 


HOSPITAL BEDS FINALLY AVAILABLE
[155] Aug 15:   actual: 179,964,796,    official: 17,996,413,   infectious: 15,691,914,   dead: 21,621,918 

[156] Aug 16:   actual: 180,380,855,    official: 18,038,018,   infectious: 14,851,778,   dead: 21,686,327 

[157] Aug 17:   actual: 180,771,408,    official: 18,077,073,   infectious: 14,024,643,   dead: 21,768,381 

[158] Aug 18:   actual: 181,138,109,    official: 18,113,743,   infectious: 13,242,411,   dead: 21,834,225 

[159] Aug 19:   actual: 181,482,562,    official: 18,148,188,   infectious: 12,505,207,   dead: 21,882,621 

[160] Aug 20:   actual: 181,806,390,    official: 18,180,570,   infectious: 11,815,542,   dead: 21,915,941 

[161] Aug 21:   actual: 182,110,806,    official: 18,211,011,   infectious: 11,159,988,   dead: 21,943,661 

[162] Aug 22:   actual: 182,396,868,    official: 18,239,617,   infectious: 10,534,147,   dead: 21,970,235 

[163] Aug 23:   actual: 182,665,525,    official: 18,266,482,   infectious: 9,935,078,   dead: 21,998,596 

[164] Aug 24:   actual: 182,917,781,    official: 18,291,707,   infectious: 9,365,773,   dead: 22,024,984 

[165] Aug 25:   actual: 183,154,582,    official: 18,315,387,   infectious: 8,825,028,   dead: 22,049,650 

[166] Aug 26:   actual: 183,376,801,    official: 18,337,608,   infectious: 8,310,916,   dead: 22,072,016 

[167] Aug 27:   actual: 183,585,297,    official: 18,358,457,   infectious: 7,823,699,   dead: 22,090,751 

[168] Aug 28:   actual: 183,780,948,    official: 18,378,022,   infectious: 7,364,749,   dead: 22,107,874 

[169] Aug 29:   actual: 183,964,513,    official: 18,396,378,   infectious: 6,930,211,   dead: 22,123,245 

[170] Aug 30:   actual: 184,136,688,    official: 18,413,595,   infectious: 6,518,269,   dead: 22,138,100 

[171] Aug 31:   actual: 184,298,089,    official: 18,429,735,   infectious: 6,126,364,   dead: 22,154,794 

[172] Sep  1:   actual: 184,449,380,    official: 18,444,864,   infectious: 5,756,706,   dead: 22,170,227 

[173] Sep  2:   actual: 184,591,179,    official: 18,459,043,   infectious: 5,408,007,   dead: 22,184,543 

[174] Sep  3:   actual: 184,724,049,    official: 18,472,330,   infectious: 5,078,427,   dead: 22,197,185 

[175] Sep  4:   actual: 184,848,544,    official: 18,484,779,   infectious: 4,768,032,   dead: 22,207,080 

[176] Sep  5:   actual: 184,965,234,    official: 18,496,448,   infectious: 4,477,633,   dead: 22,215,822 

[177] Sep  6:   actual: 185,074,603,    official: 18,507,384,   infectious: 4,204,238,   dead: 22,223,339 

[178] Sep  7:   actual: 185,177,085,    official: 18,517,632,   infectious: 3,946,159,   dead: 22,230,647 

[179] Sep  8:   actual: 185,273,059,    official: 18,527,229,   infectious: 3,701,388,   dead: 22,239,431 


VENTILATORS FINALLY AVAILABLE
[180] Sep  9:   actual: 185,362,932,    official: 18,536,216,   infectious: 3,471,249,   dead: 22,247,385 

[181] Sep 10:   actual: 185,447,081,    official: 18,544,630,   infectious: 3,254,679,   dead: 22,254,583 

[182] Sep 11:   actual: 185,525,879,    official: 18,552,509,   infectious: 3,051,678,   dead: 22,260,566 

[183] Sep 12:   actual: 185,599,676,    official: 18,559,888,   infectious: 2,861,482,   dead: 22,264,546 

[184] Sep 13:   actual: 185,668,804,    official: 18,566,800,   infectious: 2,683,518,   dead: 22,267,684 

[185] Sep 14:   actual: 185,733,553,    official: 18,573,274,   infectious: 2,516,234,   dead: 22,271,033 

[186] Sep 15:   actual: 185,794,196,    official: 18,579,338,   infectious: 2,359,048,   dead: 22,274,603 

[187] Sep 16:   actual: 185,850,990,    official: 18,585,017,   infectious: 2,211,385,   dead: 22,278,392 

[188] Sep 17:   actual: 185,904,175,    official: 18,590,335,   infectious: 2,072,722,   dead: 22,282,427 

[189] Sep 18:   actual: 185,953,979,    official: 18,595,315,   infectious: 1,942,548,   dead: 22,286,209 

[190] Sep 19:   actual: 186,000,613,    official: 18,599,978,   infectious: 1,820,322,   dead: 22,289,753 

[191] Sep 20:   actual: 186,044,276,    official: 18,604,344,   infectious: 1,705,586,   dead: 22,293,074 

[192] Sep 21:   actual: 186,085,154,    official: 18,608,431,   infectious: 1,597,918,   dead: 22,296,186 

[193] Sep 22:   actual: 186,123,425,    official: 18,612,258,   infectious: 1,496,952,   dead: 22,299,103 

[194] Sep 23:   actual: 186,159,254,    official: 18,615,840,   infectious: 1,402,271,   dead: 22,301,837 

[195] Sep 24:   actual: 186,192,796,    official: 18,619,194,   infectious: 1,313,495,   dead: 22,304,399 

[196] Sep 25:   actual: 186,224,196,    official: 18,622,334,   infectious: 1,230,283,   dead: 22,306,798 

[197] Sep 26:   actual: 186,253,591,    official: 18,625,273,   infectious: 1,152,293,   dead: 22,309,044 

[198] Sep 27:   actual: 186,281,108,    official: 18,628,024,   infectious: 1,079,162,   dead: 22,311,147 

[199] Sep 28:   actual: 186,306,866,    official: 18,630,599,   infectious: 1,010,594,   dead: 22,313,116 

[200] Sep 29:   actual: 186,330,976,    official: 18,633,010,   infectious: 946,324,   dead: 22,314,960 

[201] Sep 30:   actual: 186,353,543,    official: 18,635,266,   infectious: 886,124,   dead: 22,316,688 

[202] Oct  1:   actual: 186,374,667,    official: 18,637,378,   infectious: 829,742,   dead: 22,318,306 

As of Oct  1 evening:
 13,682,907:  Total avoidable deaths from severely ills denied Hosp.BEDS
  7,984,344:  Total avoidable deaths from critically ills denied H.VENTS 
    651,055:  Total deaths of those given proper hospital treatment: 
---------------
 22,318,306:  GRAND TOTAL DEATHS




Starting Run:
USA Adequate 1:14 spread Lockdown Scenario:  0.07142 at March 25
[0] Mar 13:   actual: 21,957,    official: 2,195,   infectious: 12,326,   dead: 4 

[1] Mar 14:   actual: 28,818,    official: 2,881,   infectious: 16,338,   dead: 9 

[2] Mar 15:   actual: 37,787,    official: 3,777,   infectious: 21,357,   dead: 14 

[3] Mar 16:   actual: 49,612,    official: 4,959,   infectious: 28,159,   dead: 46 

[4] Mar 17:   actual: 65,173,    official: 6,515,   infectious: 37,058,   dead: 74 

[5] Mar 18:   actual: 85,646,    official: 8,562,   infectious: 48,759,   dead: 110 

[6] Mar 19:   actual: 112,465,    official: 11,243,   infectious: 63,876,   dead: 144 

[7] Mar 20:   actual: 147,704,    official: 14,766,   infectious: 83,941,   dead: 195 

[8] Mar 21:   actual: 193,984,    official: 19,394,   infectious: 110,255,   dead: 207 

[9] Mar 22:   actual: 254,827,    official: 25,478,   infectious: 144,976,   dead: 211 

[10] Mar 23:   actual: 334,704,    official: 33,465,   infectious: 190,377,   dead: 216 

[11] Mar 24:   actual: 439,606,    official: 43,955,   infectious: 250,101,   dead: 221 

[12] Mar 25:   actual: 463,026,    official: 46,297,   infectious: 328,501,   dead: 253 

[13] Mar 26:   actual: 493,727,    official: 49,367,   infectious: 430,667,   dead: 281 

[14] Mar 27:   actual: 525,893,    official: 52,583,   infectious: 451,271,   dead: 317 

[15] Mar 28:   actual: 559,981,    official: 55,991,   infectious: 478,295,   dead: 351 

[16] Mar 29:   actual: 596,019,    official: 59,594,   infectious: 505,731,   dead: 402 

[17] Mar 30:   actual: 633,921,    official: 63,384,   infectious: 531,962,   dead: 531 

[18] Mar 31:   actual: 673,716,    official: 67,363,   infectious: 558,609,   dead: 702 

[19] Apr  1:   actual: 715,327,    official: 71,524,   infectious: 584,197,   dead: 926 

[20] Apr  2:   actual: 758,673,    official: 75,858,   infectious: 608,656,   dead: 1,221 

[21] Apr  3:   actual: 803,512,    official: 80,341,   infectious: 629,728,   dead: 1,610 

[22] Apr  4:   actual: 849,930,    official: 84,982,   infectious: 652,025,   dead: 2,121 

[23] Apr  5:   actual: 898,781,    official: 89,867,   infectious: 686,327,   dead: 2,791 

[24] Apr  6:   actual: 949,973,    official: 94,986,   infectious: 719,356,   dead: 3,671 

[25] Apr  7:   actual: 1,003,492,    official: 100,337,   infectious: 752,218,   dead: 4,828 

[26] Apr  8:   actual: 1,059,264,    official: 105,914,   infectious: 784,047,   dead: 6,349 

[27] Apr  9:   actual: 1,117,145,    official: 111,702,   infectious: 813,886,   dead: 8,345 

[28] Apr 10:   actual: 1,176,907,    official: 117,678,   infectious: 840,527,   dead: 10,967 

[29] Apr 11:   actual: 1,238,193,    official: 123,806,   infectious: 862,166,   dead: 11,552 

[30] Apr 12:   actual: 1,300,482,    official: 130,034,   infectious: 876,496,   dead: 12,319 

[31] Apr 13:   actual: 1,363,031,    official: 136,288,   infectious: 880,365,   dead: 13,123 

[32] Apr 14:   actual: 1,424,807,    official: 142,465,   infectious: 869,706,   dead: 13,975 

[33] Apr 15:   actual: 1,484,382,    official: 148,422,   infectious: 838,929,   dead: 14,875 

[34] Apr 16:   actual: 1,546,296,    official: 154,613,   infectious: 872,083,   dead: 15,822 

[35] Apr 17:   actual: 1,609,945,    official: 160,977,   infectious: 896,744,   dead: 16,816 

[36] Apr 18:   actual: 1,675,378,    official: 167,520,   infectious: 922,109,   dead: 17,856 

[37] Apr 19:   actual: 1,742,576,    official: 174,239,   infectious: 947,228,   dead: 18,939 

[38] Apr 20:   actual: 1,811,524,    official: 181,133,   infectious: 972,159,   dead: 20,059 

[39] Apr 21:   actual: 1,882,214,    official: 188,202,   infectious: 997,007,   dead: 21,219 

[40] Apr 22:   actual: 1,954,642,    official: 195,444,   infectious: 1,021,812,   dead: 22,440 

[41] Apr 23:   actual: 2,028,816,    official: 202,861,   infectious: 1,046,742,   dead: 23,719 

[42] Apr 24:   actual: 2,104,758,    official: 210,455,   infectious: 1,072,022,   dead: 25,056 

[43] Apr 25:   actual: 2,182,523,    official: 218,231,   infectious: 1,098,079,   dead: 26,450 

[44] Apr 26:   actual: 2,262,159,    official: 226,194,   infectious: 1,124,854,   dead: 27,897 

[45] Apr 27:   actual: 2,343,624,    official: 234,340,   infectious: 1,151,068,   dead: 29,391 

[46] Apr 28:   actual: 2,426,892,    official: 242,666,   infectious: 1,176,931,   dead: 30,923 

[47] Apr 29:   actual: 2,511,934,    official: 251,170,   infectious: 1,202,406,   dead: 32,480 

[48] Apr 30:   actual: 2,598,723,    official: 259,848,   infectious: 1,227,529,   dead: 34,043 

[49] May  1:   actual: 2,687,239,    official: 268,699,   infectious: 1,252,390,   dead: 35,587 

[50] May  2:   actual: 2,777,472,    official: 277,722,   infectious: 1,277,145,   dead: 37,076 

[51] May  3:   actual: 2,869,432,    official: 286,918,   infectious: 1,302,059,   dead: 38,623 

[52] May  4:   actual: 2,963,156,    official: 296,290,   infectious: 1,327,537,   dead: 40,214 

[53] May  5:   actual: 3,058,725,    official: 305,846,   infectious: 1,354,178,   dead: 41,849 

[54] May  6:   actual: 3,156,279,    official: 315,601,   infectious: 1,382,835,   dead: 43,528 

[55] May  7:   actual: 3,256,043,    official: 325,577,   infectious: 1,414,725,   dead: 45,251 

[56] May  8:   actual: 3,357,997,    official: 335,772,   infectious: 1,446,365,   dead: 47,018 

[57] May  9:   actual: 3,462,171,    official: 346,189,   infectious: 1,478,467,   dead: 48,828 

[58] May 10:   actual: 3,568,591,    official: 356,831,   infectious: 1,510,978,   dead: 50,682 

[59] May 11:   actual: 3,677,286,    official: 367,700,   infectious: 1,543,949,   dead: 52,580 

[60] May 12:   actual: 3,788,288,    official: 378,800,   infectious: 1,577,422,   dead: 54,524 

[61] May 13:   actual: 3,901,633,    official: 390,134,   infectious: 1,611,432,   dead: 56,514 

[62] May 14:   actual: 4,017,356,    official: 401,706,   infectious: 1,646,011,   dead: 58,550 

[63] May 15:   actual: 4,135,496,    official: 413,520,   infectious: 1,681,180,   dead: 60,631 

[64] May 16:   actual: 4,256,091,    official: 425,579,   infectious: 1,716,937,   dead: 62,757 

[65] May 17:   actual: 4,379,176,    official: 437,887,   infectious: 1,753,243,   dead: 64,926 

[66] May 18:   actual: 4,504,783,    official: 450,447,   infectious: 1,790,067,   dead: 67,138 

[67] May 19:   actual: 4,632,950,    official: 463,263,   infectious: 1,827,478,   dead: 69,393 

[68] May 20:   actual: 4,763,717,    official: 476,339,   infectious: 1,865,523,   dead: 71,692 

[69] May 21:   actual: 4,897,128,    official: 489,680,   infectious: 1,904,259,   dead: 74,035 

[70] May 22:   actual: 5,033,231,    official: 503,290,   infectious: 1,943,740,   dead: 76,424 

[71] May 23:   actual: 5,172,077,    official: 517,174,   infectious: 1,984,020,   dead: 78,862 

[72] May 24:   actual: 5,313,721,    official: 531,338,   infectious: 2,025,148,   dead: 81,356 

[73] May 25:   actual: 5,458,220,    official: 545,787,   infectious: 2,067,161,   dead: 83,904 

[74] May 26:   actual: 5,605,631,    official: 560,528,   infectious: 2,110,075,   dead: 86,508 

[75] May 27:   actual: 5,756,012,    official: 575,566,   infectious: 2,153,875,   dead: 89,168 

[76] May 28:   actual: 5,909,414,    official: 590,906,   infectious: 2,198,500,   dead: 91,885 

[77] May 29:   actual: 6,065,880,    official: 606,552,   infectious: 2,243,820,   dead: 94,660 

[78] May 30:   actual: 6,225,456,    official: 622,509,   infectious: 2,289,895,   dead: 97,493 

[79] May 31:   actual: 6,388,190,    official: 638,782,   infectious: 2,336,736,   dead: 100,386 

[80] Jun  1:   actual: 6,554,130,    official: 655,376,   infectious: 2,384,360,   dead: 103,339 

[81] Jun  2:   actual: 6,723,324,    official: 672,295,   infectious: 2,432,780,   dead: 106,353 

[82] Jun  3:   actual: 6,895,822,    official: 689,544,   infectious: 2,482,010,   dead: 109,430 

[83] Jun  4:   actual: 7,071,673,    official: 707,129,   infectious: 2,532,057,   dead: 112,570 

